Crop,Year_2004-05,Year_2005-06,Year_2006-07,Year_2007-08,Year_2008-09,Year_2009-10,Year_2010-11,Year_2011-12
Rice,100.0,101.0,99.0,105.0,112.0,121.0,117.0,110.0
Wheat,100.0,101.0,112.0,115.0,117.0,127.0,120.0,108.0
Coarse Cereals,100.0,107.0,110.0,115.0,113.0,123.0,122.0,136.0
Pulses,100.0,108.0,134.0,124.0,124.0,146.0,137.0,129.0
Vegetables,100.0,109.0,103.0,118.0,113.0,124.0,128.0,115.0
Fruits,100.0,99.0,99.0,98.0,102.0,104.0,114.0,119.0
Milk,100.0,97.0,98.0,98.0,98.0,112.0,123.0,124.0
"Eggs, Fish and Meat",100.0,102.0,101.0,100.0,99.0,116.0,133.0,137.0
Oilseeds,100.0,86.0,85.0,97.0,104.0,103.0,99.0,102.0
Sugarcane,100.0,96.0,91.0,87.0,80.0,81.0,109.0,107.0
Fibers,100.0,92.0,91.0,96.0,109.0,107.0,138.0,140.0
All Agriculture,100.0,99.0,101.0,104.0,106.0,115.0,123.0,122.0
